feature,importance
Tenure,0.23939343
Complain,0.085854195
NumberOfAddress,0.06315556
PreferedOrderCat,0.061972342
PreferredLoginDevice,0.05599663
SatisfactionScore,0.05232873
DaySinceLastOrder,0.04900248
MaritalStatus,0.048194166
CouponUsed,0.04408018
CityTier,0.043751042
NumberOfDeviceRegistered,0.03844827
OrderCount,0.036056012
CashbackAmount,0.03485778
PreferredPaymentMode,0.03367016
WarehouseToHome,0.033541054
Gender,0.032152787
OrderAmountHikeFromlastYear,0.026260449
HourSpendOnApp,0.021284716
